Player,MeanSpacing,UniqueECO_SubCat,UniqueECO_Cat,MostFrequentECO_Cat,MostFrequentECO_Cat_Frequency,EloChange,MostFrequentECO_Cat_Frequency_Quartile,MeanSpacing_Quartile
APA55,42604,7,5,A,0.56,-11,3,4
APBluebishop,33364.4489795918,32,5,B,0.34,45,1,2
APChessLive,44270.8979591837,33,4,C,0.34,59,1,4
APODISHA,33939.5714285714,26,3,C,0.58,26,4,3
AQuietMove,30443.0408163265,36,5,B,0.54,-19,3,2
AR1950,27161.3265306122,31,4,C,0.6,-29,4,2
ARAM1984,33260.9183673469,26,5,B,0.64,26,4,2
ARC-5555,51420.2857142857,29,4,C,0.6,54,4,4
ARHeoloog,33807.1836734694,15,3,B,0.56,7,3,3
ARM-MASTER,30795.306122449,28,4,C,0.38,-91,1,2
ARM2011,26323.1428571429,23,4,B,0.56,-15,3,2
ARM54,24614.0816326531,13,3,D,0.38,-63,1,1
ARMAN-DUXOV,42410,21,4,C,0.58,-36,4,4
ART8124,19418.4081632653,23,4,B,0.46,-64,2,1
ARTASHESminasyan,13181.2653061224,26,5,B,0.4,-123,1,1
ARTHURRUEDA,25899.4285714286,28,4,C,0.7,12,4,2
ARTIGMA,39272.7142857143,34,6,B,0.44,28,2,3
ARTUR1982,31050.6530612245,6,2,A,0.64,86,4,2
ARTUROGL97,26353.2653061224,23,4,A,0.46,80,2,2
ARXADREZ,52975.7346938775,19,5,B,0.54,32,3,4
ARashed505,28467.7551020408,27,4,B,0.54,12,3,2
ARebours,22916.4693877551,5,2,A,0.64,-69,4,1
AS-Udachnik,26835.1224489796,28,5,A,0.46,58,2,2
ASADI_A_Q,28309.2244897959,17,4,C,0.58,-87,4,2
ASAR37,30380.7959183673,28,4,B,0.34,-97,1,2
ASG59,33502.306122449,28,4,A,0.5,14,3,3
ASGHARI_MOHAMMAD,32126.2448979592,27,5,A,0.32,37,1,2
ASHRAF1973,14052.5918367347,18,3,A,0.56,-55,3,1
AS_Kononov,35559.1632653061,27,4,C,0.66,27,4,3
AS_level,28379.0408163265,33,5,B,0.4,44,1,2
ASaufany,26430.5714285714,29,5,A,0.38,4,1,2
ASilbUnE,51110.6326530612,27,5,C,0.54,-2,3,4
ASshakhmaty,24335.7346938776,22,4,B,0.6,64,4,1
AStein1,45917.3469387755,33,5,D,0.34,25,1,4
ATAHUN,28695.3469387755,18,3,C,0.46,-101,2,2
ATL4NTE,4691.95918367347,23,4,A,0.58,-60,4,1
ATMaster,42428.8775510204,31,5,A,0.34,30,1,4
AUA122,36159.7959183674,19,4,B,0.5,-16,3,3
AV7777,27272.612244898,7,3,A,0.58,-48,4,2
AVIRAM67,21266.4081632653,18,4,A,0.4,-6,1,1
AVR,33505.0408163265,24,4,C,0.48,66,2,3
AVRysev,49845.7755102041,21,4,C,0.56,83,3,4
AVner55,36141.2857142857,25,5,A,0.38,99,1,3
AWesley,30422.2653061224,26,5,C,0.62,-35,4,2
AYUSH2020,49381.1632653061,24,4,A,0.4,90,1,4
AZMMAT78,37242.6734693878,21,4,A,0.76,-64,4,3
AZTERIX50,44164.2244897959,28,4,C,0.62,47,4,4
AZqswx123,20630.1224489796,37,5,C,0.4,12,1,1
A_444,28903.4081632653,22,3,C,0.58,67,4,2
A_A_Mokin,37538.7142857143,4,2,A,0.58,8,4,3
A_Big_Kahuna,51189.9183673469,32,5,B,0.5,-1,3,4
A_Crowley,30241.0204081633,28,3,B,0.58,-5,4,2
A_FATHY22,27658.8775510204,27,4,C,0.44,56,2,2
A_Mortal,32200.1428571429,26,5,D,0.38,-58,1,2
A_P_O_L_L_O,33490.1020408163,29,5,C,0.44,32,2,3
A_khoshnavaz,29672.9795918367,28,4,C,0.4,79,1,2
A_salah,30363.8571428571,25,4,B,0.48,-39,2,2
Aa_Zanenceba,23812.387755102,35,4,B,0.48,8,2,1
AadilMisba3,46493.7755102041,23,4,C,0.5,50,3,4
Aakaash_sky,21629.6530612245,19,4,B,0.46,52,2,1
Aankdhuro,42846.3265306122,22,4,C,0.52,83,3,4
Aarav1708,37247.4897959184,26,5,B,0.68,173,4,3
Aarbnb,26402.1836734694,21,4,C,0.56,-21,3,2
Aashish61310213,45518.4489795918,30,5,C,0.56,-34,3,4
Aasia20,24223.693877551,12,3,A,0.38,-5,1,1
Aastrikh,32487.2040816327,22,5,B,0.4,-59,1,2
AbUrien,44857.3469387755,21,4,B,0.4,-26,1,4
Aba13,32237.5306122449,20,4,B,0.54,45,3,2
Abamych,37018.5918367347,26,5,C,0.54,-15,3,3
Abang_raizal,20445.4081632653,34,6,B,0.42,-26,2,1
Abasrahbar,27054.9183673469,30,5,C,0.52,-25,3,2
Abavus,37128.4897959184,28,5,D,0.38,241,1,3
Abbaschess17,13474.4285714286,26,5,C,0.34,9,1,1
AbdRahim6397436,23102.1224489796,31,5,B,0.44,-6,2,1
Abdallah2003,40585.9795918367,26,5,D,0.36,13,1,3
Abdallah88,31796.9591836735,31,4,B,0.54,201,3,2
Abddel,31657.4081632653,32,4,C,0.58,152,4,2
Abdel-fattah,47356.5510204082,13,4,A,0.28,-32,1,4
Abdelalii,39881.5306122449,21,4,D,0.46,142,2,3
Abdelaziz_1,53407.612244898,27,4,B,0.46,14,2,4
Abdelkadercho,39152.2653061225,11,4,D,0.48,57,2,3
Abdelrahman77,24735.1224489796,27,5,A,0.32,52,1,1
AbdelrahmanGorashi,39791.5306122449,25,5,C,0.5,-59,3,3
Abdelwahab66,12258.6326530612,13,4,A,0.58,-45,4,1
Abdiaziz7,24730.2040816327,32,5,C,0.52,31,3,1
Abdinabi5,33523.1428571429,31,4,D,0.42,51,2,3
Abdo663,50187.7755102041,28,4,C,0.54,-5,3,4
Abdo8888,26245.7755102041,33,5,C,0.38,111,1,2
Abdoallam,33673.4897959184,35,5,C,0.38,10,1,3
Abdohsanosi,32312.6734693878,33,5,B,0.36,38,1,2
AbdouCPRS,28708.7551020408,25,4,B,0.44,131,2,2
Abdsamad2,18777.693877551,21,5,A,0.5,37,3,1
Abdul-Gafoor,26829.306122449,39,4,B,0.34,4,1,2
Abdul-Malik,29202.2040816327,26,3,B,0.66,-40,4,2
Abdul1,13477.0816326531,27,4,C,0.48,-84,2,1
AbdulPivet,25185.5510204082,26,5,A,0.3,-32,1,1
Abdula67,22070.1224489796,19,5,C,0.58,6,4,1
Abdulhadikassab6,21307.0816326531,10,3,B,0.7,-67,4,1
Abdulla72,23545.5918367347,26,4,B,0.44,-78,2,1
Abdullaev_Hasan,25531.612244898,24,4,C,0.52,49,3,1
Abdullah90,37925.3469387755,30,5,C,0.5,-46,3,3
Abdullah_almaz,25023.2857142857,12,3,B,0.6,35,4,1
Abdullahhade,45858.7959183674,27,4,C,0.36,-99,1,4
Abdullahkhan77,37796.4489795918,34,6,B,0.3,8,1,3
Abdullahsaleh,53165,36,5,B,0.34,-21,1,4
Abdullaziz_essa,25963.8775510204,31,5,D,0.34,-6,1,2
AbdulmalekHatem,41582.1836734694,28,5,C,0.38,-27,1,3
AbdulrahmanSagga,33059.5510204082,28,4,B,0.54,5,3,2
Abdumajid_uzb,47858.612244898,31,6,A,0.24,257,1,4
Abdurauf,41240.3265306122,22,3,C,0.56,39,3,3
Abecedarian1,31731.4693877551,13,2,A,0.64,12,4,2
Abens73,52596.7551020408,31,4,C,0.52,50,3,4
Abgaryan,29605.1020408163,23,5,C,0.46,90,2,2
Abhay3b7,41534.2040816326,33,4,C,0.52,58,3,3
Abhi-9,39456.6530612245,33,4,C,0.52,60,3,3
Abhi128964,25808.6530612245,26,4,C,0.4,-7,1,2
Abhi900,36806.2448979592,34,5,B,0.38,-24,1,3
AbhijeetGore,36867.7755102041,33,5,B,0.28,-18,1,3
Abhiskum,47094.9183673469,34,5,C,0.38,-34,1,4
Abi332,36827.8979591837,29,5,B,0.32,22,1,3
Abichal312,42463.5306122449,17,4,D,0.38,142,1,4
Ability_2019,33364.8979591837,7,3,A,0.7,66,4,2
Abinash007,38367.0204081633,33,5,C,0.42,3,2,3
Abisoye14,13714.1428571429,34,5,D,0.4,46,1,1
Abms,19821.1224489796,28,5,C,0.5,-39,3,1
Abo--issa,29097.0816326531,31,4,C,0.58,-6,4,2
AboSofian,43899.1020408163,26,4,C,0.56,10,3,4
Abodina,9211.63265306122,27,5,C,0.48,89,2,1
Abohsham,32084.1428571429,27,4,A,0.42,106,2,2
Abojaad,35450.693877551,21,4,B,0.44,61,2,3
AbondanZieri,30158.8979591837,26,4,C,0.44,87,2,2
AboodGMToBe,45364.693877551,13,3,A,0.64,-10,4,4
Abousaif61,18223.8163265306,21,3,C,0.38,35,1,1
Aboyazan9,22943.7142857143,12,3,C,0.62,30,4,1
Abra23,42158.6326530612,31,4,B,0.62,-52,4,4
Abram1111,45567.0612244898,32,4,C,0.56,93,3,4
Abstruse28,49253.8571428571,30,3,C,0.48,-61,2,4
Abu_ahmed,24548.7551020408,29,6,D,0.34,126,1,1
Abuelazm92,36702.387755102,17,5,D,0.36,37,1,3
Abva,45459.8979591837,26,5,B,0.46,-97,2,4
Aby14,28366.3469387755,25,4,A,0.34,-30,1,2
Abyssopelagic,38823.9591836735,25,4,B,0.58,67,4,3
Ac12342011,42346,23,4,B,0.58,-43,4,4
Academico,36153.2448979592,31,4,B,0.6,-13,4,3
Acarizm,51438.5510204082,19,5,A,0.46,-59,2,4
Accept47,21834.5102040816,32,5,B,0.28,-24,1,1
Accountforchess,33862.1836734694,25,4,C,0.64,-68,4,3
Accountingsht,21078.7551020408,29,6,C,0.4,42,1,1
Accumulator7,7615.79591836735,31,5,B,0.5,-32,3,1
Ace183,15418.693877551,30,4,C,0.48,-91,2,1
AceCalibre,31985.4693877551,29,5,B,0.56,-14,3,2
Aceefynest,18825.1224489796,29,4,C,0.6,24,4,1
Aceking63,38954.4285714286,28,5,C,0.52,4,3,3
Acell,35089.3469387755,33,3,C,0.5,152,3,3
AceofSteel,46238.4897959184,27,4,C,0.56,-72,3,4
Aceree,13023.5918367347,25,5,C,0.6,40,4,1
Ache77,22864.0816326531,28,4,C,0.4,-65,1,1
Achila1,16716.612244898,28,5,A,0.5,-38,3,1
Achille64,35427.5102040816,25,5,C,0.48,2,2,3
AchmadS,13059.9795918367,26,4,B,0.58,-9,4,1
Achraf-9,42829.612244898,27,4,C,0.64,-30,4,4
Ackiir1,39045.8775510204,19,4,C,0.36,91,1,3
Ackward74,30990.8775510204,33,5,A,0.34,-38,1,2
Activetourman,15632.306122449,25,4,B,0.42,-58,2,1
AdB8,36390.2244897959,9,3,A,0.48,115,2,3
AdHominem666,36614.1224489796,5,3,A,0.6,-19,4,3
AdNelson,38228.4489795918,26,4,C,0.52,30,3,3
Adahamjon,24596.3673469388,29,4,D,0.4,170,1,1
Adam126,24433.693877551,21,4,C,0.52,-15,3,1
AdamGreen,48668.693877551,24,3,B,0.4,32,1,4
AdamMoon,21286.6326530612,14,4,A,0.4,-104,1,1
Adam_W_Frank_Indy,53076.0612244898,35,5,B,0.44,-48,2,4
Adamsangel,47404.693877551,43,5,B,0.32,-66,1,4
Adarsh_Toshniwal,42407.7551020408,20,4,D,0.56,-55,3,4
Adayson,38246.3469387755,31,4,B,0.44,19,2,3
Adel1988adli,31854.4081632653,32,5,A,0.4,26,1,2
Adelayadi,45536.6326530612,21,5,C,0.56,-41,3,4
Adelmo1987,12357.2448979592,15,4,A,0.42,-22,2,1
Adhamjon1967,36957.1836734694,37,5,C,0.48,267,2,3
Adhamm99,15920.1224489796,30,4,D,0.46,25,2,1
AdiAndrian,51640.7346938775,30,4,B,0.64,-69,4,4
AdiVin,29947.1224489796,27,5,C,0.5,7,3,2
Adi_Kardes,26831.4489795918,27,6,C,0.56,-42,3,2
Adi_Suciu,24975.387755102,21,3,C,0.52,-60,3,1
AdithyaRatheesh007,45397.3673469388,21,4,C,0.7,140,4,4
Adithyan04,33503.7959183674,7,4,A,0.7,12,4,3
Aditya_B_N,45265.387755102,33,5,B,0.5,4,3,4
Aditya_Tanmay,25285.7551020408,28,4,C,0.46,99,2,1
Adler135,19666.2653061224,22,5,A,0.42,-68,2,1
Admgz,50784.3469387755,32,5,B,0.44,-10,2,4
Adnan_Haj,40860,26,5,A,0.38,-57,1,3
Adnaneokk,21203.2857142857,21,4,C,0.5,65,3,1
Adobes,17895.4693877551,30,5,B,0.46,13,2,1
Adokhine,25765.4897959184,33,5,C,0.48,-10,2,2
Adomzy,18725.2244897959,29,4,D,0.34,-26,1,1
Adonay16,38940.0408163265,29,5,C,0.54,-11,3,3
AdonisSolomon,16097.7551020408,24,4,C,0.5,93,3,1
Adrastos,51048.8163265306,31,4,B,0.52,87,3,4
Adri6193,39692.612244898,30,5,B,0.44,10,2,3
Adri_Taubate_Brasil,33849.2653061225,33,6,C,0.4,1,1,3
AdrianClarke,40591.9795918367,25,4,C,0.54,62,3,3
Adriana89,28502.612244898,23,4,C,0.62,52,4,2
Adrianjose,38353.1836734694,30,4,C,0.48,30,2,3
Adriann2009,32408.0612244898,24,4,C,0.58,1,4,2
Adrianrp,27240.6530612245,22,4,D,0.38,-32,1,2
AdriatikN,36596.2244897959,20,3,C,0.7,-7,4,3
AdrienV17,41946.2040816326,33,4,C,0.64,29,4,4
Adrimira2008,48461.4489795918,22,4,C,0.36,24,1,4
Adristoteles,32620.7142857143,29,5,B,0.36,66,1,2
Adt192,41418.387755102,20,4,A,0.34,96,1,3
Aduard,24859.0816326531,15,3,B,0.4,-31,1,1
Adufe,52187.6326530612,22,4,B,0.5,-69,3,4
Adulis45,26619.4897959184,18,4,D,0.42,-1,2,2
AdvHarishMishra,18386.612244898,28,5,C,0.44,38,2,1
AeGun_86,29812.0612244898,31,5,C,0.44,-46,2,2
Aegean_Warrior,34782.7755102041,21,4,C,0.7,26,4,3
Aekilicaslan,33342.6734693878,29,4,A,0.56,6,3,2
Aelor,51402.2040816326,26,4,C,0.66,-65,4,4
Afernanferlissi,46918.3265306122,31,4,C,0.5,-22,3,4
AfflatusJones,35254.6530612245,15,4,D,0.4,43,1,3
Afiq_07,21073.8979591837,20,4,B,0.32,-36,1,1
Afkannn,53433.9183673469,27,5,B,0.38,16,1,4
Afriantopakaya,40744.1224489796,41,5,C,0.44,5,2,3
AftabAhmad65,16911.0612244898,32,5,B,0.36,56,1,1
Ag-47,26421.4897959184,33,4,B,0.44,59,2,2
Ag1234ag1234,40711.1224489796,20,4,A,0.4,-87,1,3
Ag51,44279.2653061225,33,4,B,0.52,-68,3,4
Agamjot11,42371.1836734694,31,5,B,0.54,66,3,4
Agaragimov1961,38123.2448979592,25,4,C,0.52,-89,3,3
Agasthya_L,47252.5918367347,30,5,D,0.42,68,2,4
Agb1995,47535.1836734694,29,4,C,0.5,29,3,4
Agerzhyk,44467.4081632653,13,3,A,0.56,102,3,4
Agesilao,21979.2857142857,28,4,B,0.48,64,2,1
Agessino,26699.4081632653,28,4,C,0.38,51,1,2
Aggro_Gambito,19433.693877551,23,4,D,0.46,60,2,1
Aggrrssiver_Hustler,19270.3265306122,29,4,C,0.44,-86,2,1
Aghalar_Huseynov,34590.8163265306,19,4,C,0.54,-20,3,3
AgnewS03,36547.2653061225,32,6,B,0.3,15,1,3
Agorinas,40582.5918367347,21,4,B,0.44,97,2,3
Agressor_46,20508.2448979592,24,4,D,0.38,-27,1,1
Agtnt6,36808.306122449,20,3,B,0.6,-3,4,3
Aguirrejr,21280.5918367347,11,3,A,0.4,-9,1,1
Agus_Capablanca,40489.9183673469,21,5,C,0.54,56,3,3
Aguski2017,28123.8163265306,35,5,B,0.48,22,2,2
AgustinGrm,31706.0204081633,27,5,D,0.36,-3,1,2
AgustinIgarzabal1,34374.9795918367,30,5,D,0.32,95,1,3
Agustin_Lamique,33888.0204081633,25,6,C,0.62,-3,4,3
Agustinart,47574.8775510204,27,4,B,0.34,92,1,4
AhDar27,19145.0612244898,5,2,A,0.72,131,4,1
Ahazimeh,46586.5102040816,27,4,B,0.36,-85,1,4
Ahmaad_Shazly,32466.3673469388,22,5,B,0.38,111,1,2
Ahmad-Hasan,27197.6734693878,28,4,A,0.58,-22,4,2
AhmadGhazala1981,13325.306122449,18,4,C,0.58,-50,4,1
AhmadMamdoh,39800.7959183674,24,4,B,0.52,-52,3,3
Ahmad_Kashmar,47690.1836734694,11,3,A,0.68,-18,4,4
Ahmadalaaeddin,7960.16326530612,28,3,C,0.42,18,2,1
Ahmadalmre,37014.8979591837,21,4,A,0.4,-66,1,3
Ahme2147,45803.9387755102,24,4,B,0.38,0,1,4
Ahmed-ali-0155,14890.2448979592,30,3,C,0.4,16,1,1
Ahmed-jizani,35324.0612244898,20,5,A,0.34,67,1,3
Ahmed7481,41124.5714285714,17,3,C,0.7,39,4,3
Ahmed8gwad,31311.1020408163,23,4,C,0.62,42,4,2
AhmedElhfney,43473.7142857143,31,5,C,0.52,-12,3,4
Ahmed_Salah001,10017.4897959184,16,4,C,0.66,26,4,1
Ahmedabood,18511.2653061224,34,4,D,0.48,-77,2,1
Ahmedbedair,10585.4285714286,18,4,B,0.54,-23,3,1
Ahmedkhaled920,45134.3265306122,18,4,B,0.48,-80,2,4
Ahmedpasto,47583.8979591837,18,4,A,0.42,-20,2,4
Ahmedteto,32985.1836734694,20,5,A,0.48,26,2,2
Ahmedtork,29485.7959183673,27,4,C,0.44,-62,2,2
AhmetAAA,37319.9591836735,30,4,C,0.6,85,4,3
Ahmet_Kerem,50913.2040816326,24,4,C,0.7,34,4,4
Ahmet_aga,46185.0816326531,30,4,C,0.46,53,2,4
Ahmzt,47787.3673469388,31,4,C,0.5,45,3,4
Ahyani,44113.3469387755,32,4,C,0.54,19,3,4
Aiba-shaiba,52412.387755102,21,4,C,0.62,-30,4,4
Aibolat1974,32224.1632653061,28,5,C,0.54,48,3,2
Aidin_MN,37116.8775510204,21,4,A,0.34,7,1,3
Aieska,7925.26530612245,27,4,C,0.44,-3,2,1
Aikrechko,25962.7142857143,19,4,C,0.48,57,2,2
Ailtongomes,26911.7755102041,10,3,C,0.44,-50,2,2
AimacE,31666.6530612245,35,5,B,0.6,-301,4,2
Ainif,33085.4897959184,34,5,B,0.4,32,1,2
Ainur448,21908.3265306122,29,4,B,0.56,-7,3,1
Aios,33533.9183673469,6,2,A,0.62,-95,4,3
Air23,49684.4489795918,12,3,A,0.44,-33,2,4
AirChess2,35595.0204081633,22,5,B,0.32,-55,1,3
AirtonKenha,15475.7142857143,29,4,C,0.58,-35,4,1
AitorF,33512.8775510204,30,5,B,0.38,-22,1,3
Aj5333,17765.3673469388,21,4,C,0.5,26,3,1
Ajain2703,17312.5102040816,23,4,C,0.42,83,2,1
Ajay_juyal_Lee,40680.3265306122,32,4,B,0.42,-44,2,3
Ajaychess17,44446.6530612245,34,5,A,0.32,13,1,4
Ajedrez123,33416.9795918367,25,4,A,0.46,43,2,2
Ajedrez_UPM,44062.7551020408,24,4,C,0.5,78,3,4
Ajedreznovel,25514.4693877551,16,4,B,0.46,5,2,1
Ajeteo2016,37611.5102040816,26,4,C,0.56,-1,3,3
Ajikrist,23062.4693877551,25,4,C,0.66,-18,4,1
Ajmalz,34367.5306122449,16,3,A,0.48,-69,2,3
Ak786,18597.7755102041,25,4,B,0.46,-46,2,1
Akaihige,32392.2653061224,29,4,C,0.56,26,3,2
Akashi317,45510.9591836735,30,4,C,0.66,-22,4,4
Akashmilindwani,13793.0816326531,27,4,B,0.42,-125,2,1
AkatsukiItachi,37696.0816326531,33,4,C,0.68,76,4,3
Akcium,40808.2653061225,26,4,B,0.62,68,4,3
Akgaik,12251.8775510204,19,3,C,0.62,-50,4,1
Akhilindia10,35697.0816326531,16,3,A,0.38,2,1,3
Akibarov,33225.8775510204,25,5,B,0.54,25,3,2
Akiger,44031.1632653061,19,4,B,0.58,-87,4,4
Akiid,51187.2653061225,30,4,C,0.56,13,3,4
Akius,17845.4693877551,18,3,A,0.5,-79,3,1
Akkishail,21379.387755102,37,5,D,0.44,22,2,1
Akoalbash,38926.4897959184,22,5,A,0.56,-12,3,3
Akpounds,28898.9183673469,24,3,B,0.7,66,4,2
Akpujn,21989.693877551,31,5,C,0.44,112,2,1
Akradjelfa,50893.0816326531,23,4,C,0.64,71,4,4
Akrapovik,24730.387755102,6,2,A,0.6,26,4,1
Akraym,34652.8571428571,14,4,D,0.36,-8,1,3
Aks290894,33423.7551020408,26,4,C,0.62,-79,4,2
AkshatSan,22735.1224489796,29,5,C,0.42,-49,2,1
Akshay_Mohan16,32680.8367346939,42,6,B,0.34,29,1,2
AktobePiter,13717.8367346939,22,4,C,0.32,54,1,1
Akudin,26213.7959183673,21,5,B,0.32,-151,1,2
Akustiko,47498.6326530612,14,5,A,0.58,34,4,4
Akvinroma,22965.0204081633,19,4,B,0.52,-5,3,1
AkylbekMashrapovich,50612.2244897959,14,4,D,0.42,-9,2,4
Al-Shataranji,45883.2857142857,5,2,A,0.7,-37,4,4
Al-lalan,41724.5306122449,28,4,B,0.6,7,4,4
Al3monstr0,29731.306122449,24,4,C,0.34,39,1,2
AlAtaque,46215.1224489796,14,4,A,0.44,-41,2,4
AlB552,45331.4081632653,19,4,B,0.4,-40,1,4
AlKarl,26061.1836734694,20,3,A,0.62,85,4,2
AlOreshkin,35350.8979591837,20,4,C,0.58,-33,4,3
Alaam123,30015.9591836735,20,4,C,0.52,42,3,2
Alaasayed_2985,48090.8571428571,38,6,C,0.56,39,3,4
Alaasyria,50366.8775510204,31,5,A,0.4,-102,1,4
Alaattinyakut,18588.2040816327,29,5,B,0.46,-7,2,1
Aladexy,20613.2448979592,22,4,C,0.38,-145,1,1
Aladin86,49593.9387755102,13,3,D,0.4,31,1,4
Alafia,43979.8163265306,26,5,C,0.34,-10,1,4
AlagbaBenjamin,32366.8979591837,27,5,D,0.48,-77,2,2
AlainBex,42482.9795918367,20,5,B,0.54,-2,3,4
AlainC41975,38289.5306122449,25,6,B,0.54,51,3,3
Alan100,47239.5714285714,24,5,C,0.52,-10,3,4
AlanGalvez2804,42913.3265306122,25,4,B,0.38,-19,1,4
AlanMivi,33367.6326530612,32,4,B,0.4,-22,1,2
AlankelvinBR,33569.9387755102,32,4,A,0.48,32,2,3
Alanleal,46276.2857142857,27,3,C,0.48,-9,2,4
Alas0264,36289.1836734694,22,4,C,0.6,15,4,3
